"prvdr_id","msr_cd","scr"
"'100075'","HAC_1","0.000"
"'100076'","HAC_1","0.000"
"'100077'","HAC_1","0.130"
"'100080'","HAC_1","0.041"
"'100081'","HAC_1","0.000"
"'100084'","HAC_1","0.054"
"'100086'","HAC_1","0.000"
"'100087'","HAC_1","0.045"
"'100088'","HAC_1","0.047"
"'100090'","HAC_1","0.000"
"'100092'","HAC_1","0.000"
"'100093'","HAC_1","0.000"
"'100099'","HAC_1","0.000"
"'100102'","HAC_1","0.000"
"'100105'","HAC_1","0.068"
"'100106'","HAC_1","0.000"
"'100107'","HAC_1","0.000"
"'100109'","HAC_1","0.081"
"'100110'","HAC_1","0.100"
"'100113'","HAC_1","0.000"
"'100117'","HAC_1","0.000"
"'100118'","HAC_1","0.156"
"'100121'","HAC_1","0.000"
"'100122'","HAC_1","0.000"
"'100124'","HAC_1","0.000"
"'100125'","HAC_1","0.000"
"'100126'","HAC_1","0.000"
"'100127'","HAC_1","0.000"
"'100128'","HAC_1","0.000"
"'100130'","HAC_1","0.000"
"'100131'","HAC_1","0.000"
"'100132'","HAC_1","0.000"
"'100135'","HAC_1","0.000"
"'100137'","HAC_1","0.000"
"'100139'","HAC_1","0.000"
"'100140'","HAC_1","0.000"
"'100142'","HAC_1","0.000"
"'100150'","HAC_1","0.000"
"'100151'","HAC_1","0.000"
"'100154'","HAC_1","0.124"
"'100156'","HAC_1","0.000"
"'100157'","HAC_1","0.000"
"'100161'","HAC_1","0.000"
