"prvdr_id","msr_cd","scr","footnote"
"350006","HAI_3_NUMERATOR","1","5"
"350006","HAI_3_PROCDAYS","15","5"
"350006","HAI_3_CI_UPPER",,"5"
"350006","HAI_3_CI_LOWER",,"5"
"350006","HAI_4_SIR","Not Available","5"
"350006","HAI_4_ELIGCASES","0.105","5"
"350006","HAI_4_NUMERATOR","0","5"
"350006","HAI_4_PROCDAYS","15","5"
"350006","HAI_4_CI_UPPER",,"5"
"350006","HAI_4_CI_LOWER",,"5"
"350019","HAI_1_SIR","0.16",""
"350019","HAI_1_ELIGCASES","12.664",""
"350019","HAI_1_NUMERATOR","2",""
"350019","HAI_1_DEVICEDAYS","Not Available","4"
"350019","HAI_1_CI_UPPER","0.570",""
"350019","HAI_1_CI_LOWER","0.019",""
"350019","HAI_2_SIR","0.00",""
"350019","HAI_2_ELIGCASES","3.652",""
"350019","HAI_2_NUMERATOR","0",""
"350019","HAI_2_DEVICEDAYS","1498",""
"350019","HAI_2_CI_UPPER","1.010",""
"350019","HAI_2_CI_LOWER",,""
"350019","HAI_3_SIR","Not Available","5"
"350019","HAI_3_ELIGCASES","0.938","5"
"350019","HAI_3_NUMERATOR","0","5"
"350019","HAI_3_PROCDAYS","25","5"
"350019","HAI_3_CI_UPPER",,"5"
"350019","HAI_3_CI_LOWER",,"5"
"350019","HAI_4_SIR","Not Available","5"
"350019","HAI_4_ELIGCASES","0.284","5"
"350019","HAI_4_NUMERATOR","0","5"
"350019","HAI_4_PROCDAYS","22","5"
"350019","HAI_4_CI_UPPER",,"5"
"350019","HAI_4_CI_LOWER",,"5"
"350063","HAI_1_SIR","Not Available","15"
"350063","HAI_1_ELIGCASES","Not Available","15"
"350063","HAI_1_NUMERATOR","Not Available","15"
"350063","HAI_1_DEVICEDAYS","Not Available","4"
"350063","HAI_1_CI_UPPER",,"15"
"350063","HAI_1_CI_LOWER",,"15"
"350063","HAI_2_SIR","Not Available","15"
"350063","HAI_2_ELIGCASES","Not Available","15"
"350063","HAI_2_NUMERATOR","Not Available","15"
"350063","HAI_2_DEVICEDAYS","Not Available","15"
"350063","HAI_2_CI_UPPER",,"15"
"350063","HAI_2_CI_LOWER",,"15"
"350063","HAI_3_SIR","Not Available","5"
"350063","HAI_3_ELIGCASES","Not Available","5"
"350063","HAI_3_NUMERATOR","Not Available","5"
"350063","HAI_3_PROCDAYS","Not Available","5"
"350063","HAI_3_CI_UPPER",,"5"
"350063","HAI_3_CI_LOWER",,"5"
"350063","HAI_4_SIR","Not Available","5"
"350063","HAI_4_ELIGCASES","Not Available","5"
"350063","HAI_4_NUMERATOR","Not Available","5"
"350063","HAI_4_PROCDAYS","Not Available","5"
"350063","HAI_4_CI_UPPER",,"5"
"350063","HAI_4_CI_LOWER",,"5"
"350070","HAI_1_SIR","0.73",""
"350070","HAI_1_ELIGCASES","6.817",""
"350070","HAI_1_NUMERATOR","5",""
"350070","HAI_1_DEVICEDAYS","Not Available","4"
"350070","HAI_1_CI_UPPER","1.712",""
"350070","HAI_1_CI_LOWER","0.238",""
"350070","HAI_2_SIR","Not Available","5"
"350070","HAI_2_ELIGCASES","0.827","5"
"350070","HAI_2_NUMERATOR","2","5"
"350070","HAI_2_DEVICEDAYS","689","5"
"350070","HAI_2_CI_UPPER",,"5"
"350070","HAI_2_CI_LOWER",,"5"
"350070","HAI_3_SIR","Not Available","5"
"350070","HAI_3_ELIGCASES","0.488","5"
"350070","HAI_3_NUMERATOR","2","5"
"350070","HAI_3_PROCDAYS","16","5"
"350070","HAI_3_CI_UPPER",,"5"
"350070","HAI_3_CI_LOWER",,"5"
"350070","HAI_4_SIR","Not Available","5"
"350070","HAI_4_ELIGCASES","0.136","5"
"350070","HAI_4_NUMERATOR","0","5"
"350070","HAI_4_PROCDAYS","15","5"
"350070","HAI_4_CI_UPPER",,"5"
"350070","HAI_4_CI_LOWER",,"5"
"351302","HAI_1_SIR","Not Available","5"
"351302","HAI_1_ELIGCASES","Not Available","5"
"351302","HAI_1_NUMERATOR","Not Available","5"
"351302","HAI_1_DEVICEDAYS","Not Available","4"
"351302","HAI_1_CI_UPPER",,"5"
"351302","HAI_1_CI_LOWER",,"5"
"351302","HAI_2_SIR","Not Available","5"
"351302","HAI_2_ELIGCASES","Not Available","5"
"351302","HAI_2_NUMERATOR","Not Available","5"
"351302","HAI_2_DEVICEDAYS","Not Available","5"
"351302","HAI_2_CI_UPPER",,"5"
"351302","HAI_2_CI_LOWER",,"5"
"351302","HAI_3_SIR","Not Available","5"
"351302","HAI_3_ELIGCASES","Not Available","5"
"351302","HAI_3_NUMERATOR","Not Available","5"
"351302","HAI_3_PROCDAYS","Not Available","5"
"351302","HAI_3_CI_UPPER",,"5"
"351302","HAI_3_CI_LOWER",,"5"
"351302","HAI_4_SIR","Not Available","5"
"351302","HAI_4_ELIGCASES","Not Available","5"
"351302","HAI_4_NUMERATOR","Not Available","5"
"351302","HAI_4_PROCDAYS","Not Available","5"
"351302","HAI_4_CI_UPPER",,"5"
"351302","HAI_4_CI_LOWER",,"5"
"510001","HAI_1_SIR","0.04",""
"510001","HAI_1_ELIGCASES","24.696",""
"510001","HAI_1_NUMERATOR","1",""
"510001","HAI_1_DEVICEDAYS","Not Available","4"
"510001","HAI_1_CI_UPPER","0.226",""
"510001","HAI_1_CI_LOWER","0.001",""
"510001","HAI_2_SIR","0.14",""
"510001","HAI_2_ELIGCASES","6.913",""
"510001","HAI_2_NUMERATOR","1",""
"510001","HAI_2_DEVICEDAYS","3019",""
"510001","HAI_2_CI_UPPER","0.806",""
"510001","HAI_2_CI_LOWER","0.004",""
"510001","HAI_3_SIR","0.00",""
"510001","HAI_3_ELIGCASES","1.029",""
"510001","HAI_3_NUMERATOR","0",""
"510001","HAI_3_PROCDAYS","29",""
"510001","HAI_3_CI_UPPER","3.585",""
"510001","HAI_3_CI_LOWER",,""
"510001","HAI_4_SIR","Not Available","5"
"510001","HAI_4_ELIGCASES","0.322","5"
"510001","HAI_4_NUMERATOR","0","5"
"510001","HAI_4_PROCDAYS","34","5"
"510001","HAI_4_CI_UPPER",,"5"
"510001","HAI_4_CI_LOWER",,"5"
"510047","HAI_1_SIR","Not Available","5"
"510047","HAI_1_ELIGCASES","0.788","5"
"510047","HAI_1_NUMERATOR","0","5"
"510047","HAI_1_DEVICEDAYS","Not Available","4"
"510047","HAI_1_CI_UPPER",,"5"
"510047","HAI_1_CI_LOWER",,"5"
"510047","HAI_2_SIR","Not Available","5"
"510047","HAI_2_ELIGCASES","0.311","5"
"510047","HAI_2_NUMERATOR","0","5"
"510047","HAI_2_DEVICEDAYS","239","5"
"510047","HAI_2_CI_UPPER",,"5"
"510047","HAI_2_CI_LOWER",,"5"
"510047","HAI_3_SIR","Not Available","5"
"510047","HAI_3_ELIGCASES","0.360","5"
"510047","HAI_3_NUMERATOR","1","5"
"510047","HAI_3_PROCDAYS","11","5"
"510047","HAI_3_CI_UPPER",,"5"
"510047","HAI_3_CI_LOWER",,"5"
"510047","HAI_4_SIR","Not Available","5"
"510047","HAI_4_ELIGCASES","0.059","5"
"510047","HAI_4_NUMERATOR","0","5"
"510047","HAI_4_PROCDAYS","5","5"
"510047","HAI_4_CI_UPPER",,"5"
"510047","HAI_4_CI_LOWER",,"5"
"510070","HAI_1_SIR","0.13",""
"510070","HAI_1_ELIGCASES","7.867",""
"510070","HAI_1_NUMERATOR","1",""
"510070","HAI_1_DEVICEDAYS","Not Available","4"
"510070","HAI_1_CI_UPPER","0.708",""
"510070","HAI_1_CI_LOWER","0.003",""
